거래시간,종목코드,현재가,상승확률(%),기대수익,예상손실,손익비,주문수량,주문종류,주문결과,상증확률(%)
2025-07-16 16:47:18.559599,34950.0,100500.0,88.0,4770.01,2845.4,1.68,13.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:57:33.575273,14830.0,88000.0,79.0,5874.59,6194.55,1.69,10.0,매도,모의투자 장종료 입니다.,
2025-07-16 16:57:37.315400,90430.0,135000.0,78.0,9659.16,6264.53,1.69,21.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:57:41.016483,34950.0,100500.0,90.0,5089.66,3011.9,1.69,15.0,매도,모의투자 장종료 입니다.,
2025-07-16 17:07:55.988652,14830.0,88000.0,79.0,5872.19,5353.56,1.36,12.0,매수,모의투자 장종료 입니다.,
2025-07-16 17:07:59.867443,90430.0,135000.0,75.0,8043.99,7785.9,1.36,1.0,매수,모의투자 장종료 입니다.,
2025-07-16 17:08:03.611273,34950.0,100500.0,87.0,4660.18,3422.54,1.36,36.0,매도,모의투자 장종료 입니다.,
2025-07-16 17:18:18.679917,14830.0,88000.0,73.0,4991.37,6240.21,1.36,8.0,매도,모의투자 장종료 입니다.,
2025-07-16 17:18:22.733258,90430.0,135000.0,87.0,7803.24,6833.19,1.36,13.0,매수,모의투자 장종료 입니다.,
2025-07-16 17:18:26.646384,34950.0,100500.0,84.0,4355.46,3194.03,1.36,20.0,매도,모의투자 장종료 입니다.,
2025-07-16 17:28:41.613927,14830.0,88000.0,81.0,5671.1,5062.83,1.52,3.0,매수,모의투자 장종료 입니다.,
2025-07-16 17:28:45.326107,90430.0,135000.0,86.0,9962.88,5358.23,1.52,40.0,매수,모의투자 장종료 입니다.,
2025-07-16 17:28:49.155270,34950.0,100500.0,89.0,4737.22,3120.73,1.52,41.0,매도,모의투자 장종료 입니다.,
2025-07-16 17:39:04.185288,14830.0,88000.0,73.0,5361.63,5912.09,1.48,2.0,매도,모의투자 장종료 입니다.,
2025-07-16 17:39:07.939254,90430.0,135000.0,84.0,7602.12,7306.32,1.48,4.0,매수,모의투자 장종료 입니다.,
2025-07-16 17:39:11.702684,34950.0,100500.0,84.0,4609.79,3121.99,1.48,11.0,매도,모의투자 장종료 입니다.,
2025-07-16 17:49:26.799376,14830.0,88000.0,79.0,5815.68,5253.13,1.31,8.0,매수,모의투자 장종료 입니다.,
2025-07-16 17:49:30.574850,90430.0,135000.0,79.0,9195.17,6274.59,1.31,23.0,매수,모의투자 장종료 입니다.,
2025-07-16 17:49:34.355269,34950.0,100500.0,85.0,4471.75,3404.87,1.31,50.0,매도,모의투자 장종료 입니다.,
2025-07-16 17:59:49.343200,14830.0,88000.0,71.0,5304.47,6021.41,1.43,1.0,매도,모의투자 장종료 입니다.,
2025-07-16 17:59:53.060794,90430.0,135000.0,82.0,7045.73,7526.95,1.43,1.0,매수,모의투자 장종료 입니다.,
2025-07-16 17:59:56.809928,34950.0,100500.0,87.0,4632.55,3232.87,1.43,13.0,매도,모의투자 장종료 입니다.,
2025-07-16 18:10:11.810240,14830.0,88000.0,77.0,5135.57,5285.2,1.25,8.0,매수,모의투자 장종료 입니다.,
2025-07-16 18:10:15.548310,90430.0,135000.0,78.0,8018.96,6870.39,1.25,13.0,매수,모의투자 장종료 입니다.,
2025-07-16 18:10:19.256913,34950.0,100500.0,86.0,4394.76,3506.77,1.25,44.0,매도,모의투자 장종료 입니다.,
